,,,,,,,,,,,,,,,,,
,components,,,Qty,price(in indian rupee),,,,,,links,,,,,,
RaspberryPi Pico W,,,,1,629,https://www.amazon.in/Raspberry-Pi-Headers-Soldered-Micro/dp/B08WPNM7JB/ref=sr_1_2?s=electronics&sr=1-2,,,,,,,,,,,
4.7K Resistor,,,,2,80,https://www.amazon.in/Electronic-Spices-Tolerance-Through-Resistors/dp/B0BDFW2XBR/ref=sr_1_3?sr=8-3,,,,,,,,,,,
akko v3 creamy yellow pro switches,,,,9,999,https://stackskb.com/store/akko-v3-cream-yellow-pro-switch-pack-of-45/,,,,,,,,,,,
EC11 RotaryEncoder_switch,,,,1,249,https://www.amazon.in/CentIoT-Encoder-Digital-Potentiometer-Control/dp/B0888RVZSN/ref=sr_1_2?sr=8-2,,,,,,,,,,,
Heated inserts m2,,,,4,321,https://www.amazon.in/SHOKITECH-Brass-Inserts-4mm-Precision/dp/B0DCZNHXJ5/ref=sr_1_2?sr=8-2,,,,,,,,,,,
M2 cross flathead screw,,,,4,295,https://www.amazon.in/Majasavi-Phillips-Cross-Flathead-Black/dp/B0CKFMHC6T/ref=sr_1_3?sr=8-3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note*,,,,,,,,,,,,,,,,,
aliexpress is ban in india,,,,,,,,,,,,,,,,,
3d printed parts and pcb is not added in the list,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
